t,dt,durum,d_h,menzil,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,iris_x,iris_y,iris_z,iris_roll_deg,iris_pitch_deg,iris_yaw_deg,st_x,st_y,st_z,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,kadraj_yaw_deg,kadraj_elev_deg,kadraj_pitch_hata_deg,u_px,v_px,tgt_omega_dps,ic_kayma_m,ic_yaricap_m
4494.495,0.05,KILIT,2.3,3.25,900.94,-144.84,-15.67,0.0,0.0,0.0,903.14,-145.5,-17.97,-16.5,11.9,-21.4,902.79,-145.4,-15.15,-0.06,0.02,0.6,-27.4,-165.82,-30.54,-55.54,,,0.0,0.0,
4494.545,0.0501,KILIT,2.63,3.47,901.16,-144.89,-15.67,1.32,-0.29,0.0,903.68,-145.64,-17.94,-16.5,10.7,-23.1,903.01,-145.44,-15.15,-0.04,0.04,1.2,-29.1,-165.37,-27.22,-52.22,,,0.0,0.0,
4494.596,0.0509,KILIT,2.82,3.59,901.51,-144.96,-15.67,2.97,-0.61,0.0,904.21,-145.76,-17.9,-19.8,9.8,-21.5,899.62,-144.57,-15.15,-0.62,0.2,1.28,-27.6,-165.55,-25.29,-50.29,,,0.0,0.0,
4494.646,0.0501,KILIT,2.93,3.66,901.94,-145.05,-15.67,4.65,-0.96,0.0,904.74,-145.91,-17.86,-17.7,8.7,-22.3,899.92,-145.26,-15.15,-1.21,0.2,1.4,-28.3,-166.45,-25.24,-50.24,,,-0.38,0.62,
4494.697,0.0502,KILIT,3.0,3.69,902.41,-145.14,-15.67,6.09,-1.23,0.0,905.27,-146.06,-17.82,-20.4,8.2,-23.1,900.63,-144.21,-15.15,-1.57,0.66,1.57,-29.1,-165.4,-23.93,-48.93,,,0.34,0.55,
4494.747,0.0501,KILIT,3.04,3.7,902.92,-145.24,-15.67,7.3,-1.46,0.0,905.8,-146.21,-17.78,-17.8,8.3,-23.9,901.23,-143.83,-15.15,-1.52,1.24,1.73,-29.9,-166.84,-23.67,-48.67,,,0.65,1.05,
4494.797,0.0503,KILIT,3.05,3.68,903.44,-145.34,-15.67,8.24,-1.64,0.0,906.31,-146.37,-17.73,-20.0,8.1,-26.2,901.76,-143.91,-15.15,-1.13,1.67,1.88,-32.2,-165.07,-22.35,-47.35,,,0.66,1.08,
4494.847,0.0501,KILIT,3.6,4.12,903.44,-145.34,-15.67,8.24,-1.64,0.0,906.84,-146.52,-17.68,-20.3,8.3,-26.9,901.76,-143.91,-15.15,-0.87,2.18,2.05,-32.9,-165.74,-17.14,-42.14,,,0.66,1.08,
4494.898,0.0512,KILIT,3.6,4.1,903.97,-145.45,-15.67,7.34,-1.47,0.0,907.36,-146.68,-17.63,-20.4,8.9,-27.1,902.25,-144.2,-15.15,-0.46,2.53,2.35,-33.2,-166.76,-16.15,-41.15,,,0.54,0.89,
4494.949,0.0502,KILIT,3.05,3.63,904.52,-145.57,-15.67,8.4,-1.72,0.0,907.36,-146.68,-17.63,-20.4,8.9,-27.1,902.52,-145.7,-15.15,-0.18,2.0,2.37,-33.1,-166.47,-20.49,-45.49,,,-0.32,0.53,
