t_sim,faz,gorev_faz,gorev_state,x1,y1,x2,y2,marj,kumulatif_s,kesintisiz_s,kilit,kilit_isteri_ok,tespit_dogrulandi,menzil,menzil_ref,yatay_oran,dikey_oran,baglayici_eksen,L_olculen,oran_ham,oran_ema,oran_hatasi,yaklasma_komut,yaklasma_sebep,vx,vy,vz,yaw,los_x,los_y,los_z
13.197,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.388,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.422,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.454,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.488,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.52,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.554,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.586,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.62,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.652,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
14.686,BEKLE,GPS,SEARCH,,,,,0.0,0.0,0.0,0,0,0,,,0.0,0.0,yatay,,0.0,,,,,,,,,0.0,1.0,0.0058
