t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
130.548,,0.1011,305|274|341|283,36.0,9.0,36.0,5.25,1.0042,35.85,1.0,0.833,0.01756,0.22237,0.9748,0.97745,0.01756,-0.21044,1.03,12.15,0.9776,1.0,1.23,0.0,0.0,17.59,-4.06,-0.58,-15.2,0,0,ok,12.89,12.15,7.84,6.058,6.058,0,gz,terminal,6.06,,,ENGAGE,kapanma,0.0,4.0,13.78,-3.02,0.03,0,-6.89,18.11,0.0,10.0,5.25,0.0,-1.17,-12.85,-6.43,1.91,11.37,6.669,325.6,280.4,1,1,-0.88,0.78,1.17,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
130.614,0.0660000000000025,0.0505,308|275|344|283,36.0,8.0,36.0,4.92,1.0037,35.87,1.0,0.733,0.03505,0.22782,0.97307,0.97818,0.03505,-0.20477,2.05,11.82,0.9788,1.0,2.46,0.0,2.7,17.63,-4.0,-0.48,-13.9,0,0,ok,13.33,11.82,7.83,6.054,6.054,0,gz,terminal,6.05,0.05,,ENGAGE,kapanma,-0.03,4.0,13.79,-3.02,0.07,0,-6.89,18.11,-0.55,10.0,5.12,-0.9,-2.02,-13.18,-6.59,1.83,11.39,6.643,325.4,280.3,1,1,0.22,0.43,1.19,
130.648,0.033999999999991815,0.0508,306|274|342|285,36.0,11.0,36.0,5.57,1.0047,35.83,1.0,0.874,0.02337,0.22789,0.97341,0.97852,0.02337,-0.20484,1.37,11.82,0.9788,1.0,1.64,0.0,1.0,17.56,-4.02,-0.6,-14.6,0,0,ok,13.24,11.82,7.84,6.048,6.048,0,gz,terminal,6.05,0.19,,ENGAGE,kapanma,-0.11,4.0,13.75,-3.0,0.09,0,-6.26,18.74,1.13,10.0,5.3,1.9,-0.16,-13.18,-6.59,1.68,10.73,6.653,324.9,282.4,1,1,-0.31,1.09,1.19,
130.68,0.03200000000001069,0.0574,307|277|342|286,35.0,9.0,35.0,5.3,1.0043,34.85,1.0,0.839,0.02331,0.23893,0.97076,0.98078,0.02331,-0.19372,1.36,11.17,0.9811,1.0,1.63,0.0,-1.3,17.53,-4.04,-0.58,-14.9,0,0,ok,13.89,11.17,8.06,6.04,6.04,0,gz,terminal,6.04,0.25,,ENGAGE,kapanma,-0.18,4.0,13.72,-3.0,0.04,0,-5.89,19.11,0.61,10.0,5.3,1.0,-1.01,-13.83,-6.92,1.91,10.35,6.648,325.6,283.5,1,1,-0.55,0.82,1.41,
130.714,0.033999999999991815,0.0481,306|277|343|287,37.0,10.0,37.0,5.24,1.0042,36.85,1.0,0.808,0.02328,0.24441,0.96939,0.98186,0.02328,-0.18817,1.36,10.85,0.9821,1.0,1.63,0.0,2.5,17.57,-4.02,-0.59,-13.7,0,0,ok,14.21,10.85,7.63,6.033,6.033,0,gz,terminal,6.03,0.2,,ENGAGE,kapanma,-0.19,4.0,13.74,-3.03,-0.01,0,-5.66,19.32,0.14,10.0,5.27,0.2,-1.66,-14.15,-7.08,0.83,10.54,6.082,322.4,283.0,1,1,0.53,0.31,1.54,
130.746,0.03200000000001069,0.0584,305|278|342|287,37.0,9.0,37.0,5.22,1.0041,36.85,1.0,0.803,0.01746,0.24444,0.96951,0.98198,0.01746,-0.18819,1.02,10.85,0.9821,1.0,1.22,0.0,1.5,17.57,-4.04,-0.57,-14.2,0,0,ok,14.19,10.85,7.63,6.027,6.027,0,gz,terminal,6.03,0.19,,ENGAGE,kapanma,-0.19,4.0,13.74,-3.03,-0.01,0,-5.66,19.32,-0.09,10.0,5.25,-0.1,-1.91,-14.15,-7.08,0.98,10.11,6.655,322.9,284.3,1,1,0.04,0.74,0.97,
130.78,0.033999999999991815,0.0456,301|279|336|288,35.0,9.0,35.0,5.28,1.0042,34.85,1.0,0.819,-0.01162,0.24992,0.9682,0.98311,-0.01162,-0.18267,-0.68,10.53,0.9832,1.0,-0.81,0.0,-3.7,17.5,-4.09,-0.56,-15.3,0,0,ok,14.49,10.53,8.06,6.015,6.015,0,gz,terminal,6.01,0.36,,ENGAGE,kapanma,-0.27,4.0,13.69,-3.02,0.0,0,-5.2,19.77,0.03,10.0,5.26,0.0,-1.94,-14.47,-7.24,0.01,9.7,6.642,320.0,285.6,1,1,-0.69,0.82,1.42,
130.812,0.03200000000001069,0.0587,302|280|338|289,36.0,9.0,36.0,4.69,1.0033,35.88,1.0,0.831,0.0,0.25538,0.96684,0.98418,0.0,-0.17716,0.0,10.2,0.9842,1.0,0.0,0.0,-4.1,17.52,-4.11,-0.38,-15.2,0,0,ok,14.8,10.2,7.83,6.004,6.004,0,gz,terminal,6.0,0.33,,ENGAGE,kapanma,-0.3,4.0,13.68,-3.04,0.01,0,-5.51,19.48,-1.92,10.0,5.03,-3.2,-4.28,-14.8,-7.4,0.33,10.0,6.631,321.0,284.6,1,1,-0.33,0.2,1.2,
130.846,0.033999999999991815,0.0559,303|277|338|287,35.0,10.0,35.0,4.75,1.0034,34.88,1.0,0.826,0.0,0.24448,0.96965,0.98213,0.0,-0.18822,0.0,10.85,0.9821,1.0,0.0,0.0,-1.9,17.54,-4.11,-0.41,-14.6,0,0,ok,14.15,10.85,8.06,5.993,5.993,0,gz,terminal,5.99,0.32,,ENGAGE,kapanma,-0.31,4.0,13.7,-3.07,0.0,0,-6.08,18.87,-1.96,10.0,4.92,-3.3,-4.11,-14.15,-7.08,0.1,10.59,6.632,320.3,282.8,1,1,-0.1,0.26,1.42,
130.878,0.031999999999982265,0.0644,302|276|337|286,35.0,10.0,35.0,4.85,1.0036,34.88,1.0,0.811,-0.00583,0.23899,0.971,0.98103,-0.00583,-0.19377,-0.34,11.17,0.981,1.0,-0.41,0.0,1.7,17.49,-4.09,-0.52,-14.4,0,0,ok,13.83,11.17,8.06,5.978,5.978,0,gz,terminal,5.98,0.49,,ENGAGE,kapanma,-0.4,4.0,13.65,-3.08,-0.05,0,-6.3,18.68,-1.32,10.0,4.89,-2.2,-3.34,-13.83,-6.91,-0.98,10.85,6.634,317.1,282.0,1,1,0.64,0.33,1.42,
