t_sim_s,x_m,y_m,z_m
3.5050,0.2796,0.0000,0.2559
3.5120,0.2796,0.0000,0.2559
3.5190,0.2796,0.0000,0.2559
3.5260,0.2796,0.0000,0.2559
3.5340,0.2796,0.0000,0.2559
3.5410,0.2796,0.0000,0.2559
3.5480,0.2796,0.0000,0.2559
3.5550,0.2796,0.0000,0.2559
3.5620,0.2796,0.0000,0.2560
3.5690,0.2796,0.0000,0.2560
3.5770,0.2796,0.0000,0.2560
3.5840,0.2796,0.0000,0.2560
3.5910,0.2796,0.0000,0.2560
3.5980,0.2796,0.0000,0.2560
3.6050,0.2796,0.0000,0.2560
3.6120,0.2796,0.0000,0.2560
3.6190,0.2796,0.0000,0.2560
3.6260,0.2796,0.0000,0.2560
3.6330,0.2796,0.0000,0.2560
3.6400,0.2796,0.0000,0.2560
3.6470,0.2796,0.0000,0.2560
3.6540,0.2796,0.0000,0.2560
3.6610,0.2796,0.0000,0.2560
3.6690,0.2796,0.0000,0.2560
3.6760,0.2796,0.0000,0.2560
3.6830,0.2796,0.0000,0.2560
3.6900,0.2796,0.0000,0.2560
3.6970,0.2796,0.0000,0.2560
3.7040,0.2796,0.0000,0.2560
3.7110,0.2796,0.0000,0.2560
3.7180,0.2796,0.0000,0.2560
3.7250,0.2796,0.0000,0.2561
3.7320,0.2796,0.0000,0.2561
3.7400,0.2796,0.0000,0.2561
3.7470,0.2796,0.0000,0.2561
3.7540,0.2796,0.0000,0.2561
3.7610,0.2796,0.0000,0.2561
3.7680,0.2796,0.0000,0.2561
3.7750,0.2796,0.0000,0.2561
3.7820,0.2796,0.0000,0.2561
3.7900,0.2796,0.0000,0.2561
3.7970,0.2796,0.0000,0.2561
3.8030,0.2796,0.0000,0.2561
3.8100,0.2796,0.0000,0.2561
3.8170,0.2796,0.0000,0.2561
3.8240,0.2796,0.0000,0.2561
3.8310,0.2796,0.0000,0.2561
3.8380,0.2796,0.0000,0.2561
3.8450,0.2796,0.0000,0.2561
3.8520,0.2796,0.0000,0.2561
3.8590,0.2796,0.0000,0.2561
3.8670,0.2796,0.0000,0.2561
3.8740,0.2796,0.0000,0.2561
3.8810,0.2796,0.0000,0.2561
3.8880,0.2796,0.0000,0.2561
3.8950,0.2796,0.0000,0.2561
3.9020,0.2796,0.0000,0.2561
3.9090,0.2796,0.0000,0.2561
3.9160,0.2796,0.0000,0.2562
3.9240,0.2796,0.0000,0.2562
3.9320,0.2796,0.0000,0.2562
3.9390,0.2796,0.0000,0.2562
3.9460,0.2796,0.0000,0.2562
3.9530,0.2796,0.0000,0.2562
3.9600,0.2796,0.0000,0.2562
3.9670,0.2796,0.0000,0.2562
3.9740,0.2796,0.0000,0.2562
3.9820,0.2796,0.0000,0.2562
3.9890,0.2796,0.0000,0.2562
3.9970,0.2796,0.0000,0.2562
4.0040,0.2796,0.0000,0.2562
4.0110,0.2796,0.0000,0.2562
4.0180,0.2796,0.0000,0.2562
4.0270,0.4579,0.0000,0.2801
4.0380,0.6759,0.0000,0.3081
4.0490,0.8938,0.0000,0.3350
4.0590,1.0919,0.0000,0.3584
4.0710,1.3296,0.0000,0.3852
4.0810,1.5275,0.0000,0.4065
4.0920,1.7452,0.0000,0.4287
4.1030,1.9628,0.0000,0.4497
4.1140,2.1803,0.0000,0.4696
4.1250,2.3976,0.0000,0.4882
4.1350,2.5291,-0.0106,0.6322
4.1460,2.7086,-0.0272,0.9572
4.1570,3.0032,-0.0298,1.1678
4.1680,3.3019,-0.0256,1.2469
4.1800,3.6227,-0.0121,1.2582
4.1920,3.9091,0.0104,1.2013
4.2030,4.1199,0.0375,1.1067
4.2140,4.2693,0.0681,0.9947
4.2260,4.3610,0.1021,0.8818
4.2380,4.3896,0.1328,0.8077
4.2490,4.3799,0.1555,0.7931
4.2610,4.3583,0.1724,0.8456
4.2730,4.3558,0.1807,0.9671
4.2840,4.3940,0.1818,1.1263
4.2960,4.4971,0.1781,1.3288
4.3070,4.6529,0.1729,1.5159
4.3190,4.8839,0.1682,1.6950
4.3300,5.1376,0.1670,1.8177
4.3410,5.4138,0.1713,1.8901
4.3520,5.6934,0.1819,1.9086
4.3630,5.9574,0.1986,1.8769
4.3750,6.2094,0.2221,1.7963
4.3860,6.3958,0.2467,1.6951
4.3970,6.5343,0.2718,1.5842
4.4080,6.6251,0.2952,1.4799
4.4190,6.6734,0.3147,1.3975
4.4300,6.6893,0.3284,1.3503
4.4420,6.6863,0.3353,1.3500
4.4530,6.6835,0.3334,1.4014
4.4640,6.7000,0.3238,1.5000
4.4750,6.7532,0.3078,1.6366
4.4860,6.8563,0.2873,1.7957
4.4970,7.0161,0.2654,1.9571
4.5080,7.2306,0.2452,2.0989
4.5190,7.4891,0.2301,2.2014
4.5310,7.7997,0.2225,2.2517
4.5420,8.0862,0.2252,2.2358
4.5530,8.3525,0.2363,2.1640
4.5640,8.5796,0.2541,2.0473
4.5760,8.7662,0.2787,1.8900
4.5870,8.8750,0.3026,1.7418
4.5990,8.9297,0.3267,1.6032
4.6100,8.9346,0.3437,1.5182
4.6210,8.9157,0.3540,1.4871
4.6320,8.8959,0.3565,1.5149
4.6440,8.9001,0.3507,1.6073
4.6550,8.9489,0.3392,1.7352
4.6670,9.0665,0.3228,1.8980
4.6780,9.2376,0.3077,2.0439
4.6900,9.4855,0.2950,2.1716
4.7020,9.7783,0.2895,2.2442
4.7130,10.0628,0.2927,2.2514
4.7240,10.3400,0.3039,2.2016
4.7360,10.6123,0.3240,2.0904
4.7460,10.8022,0.3451,1.9632
4.7580,10.9738,0.3732,1.7885
4.7700,11.0801,0.4009,1.6139
4.7820,11.1272,0.4251,1.4647
